CHARGE_ID|PAYMENT_ID|MAPPING_DATE|RES_CURR_CODE|RES_CURR_AMOUNT|RPT_CURR_CODE|RPT_CURR_AMOUNT|CREATED_DATE|LAST_MODIFIED_DATE
7154|878959|17-FEB-16|PLN|25|EUR|6|17-FEB-16|17-FEB-16
7152|878959|17-FEB-16|PLN|31|EUR|7|17-FEB-16|17-FEB-16
7153|878959|17-FEB-16|PLN|90|EUR|21|17-FEB-16|17-FEB-16
7151|878959|17-FEB-16|PLN|318|EUR|73|17-FEB-16|17-FEB-16
7149|878959|17-FEB-16|PLN|31|EUR|7|17-FEB-16|17-FEB-16
7150|878959|17-FEB-16|PLN|25|EUR|6|17-FEB-16|17-FEB-16
7148|878959|17-FEB-16|PLN|318|EUR|73|17-FEB-16|17-FEB-16
7157|878959|17-FEB-16|PLN|25|EUR|6|17-FEB-16|17-FEB-16
7155|878959|17-FEB-16|PLN|318|EUR|73|17-FEB-16|17-FEB-16
7158|878959|17-FEB-16|PLN|90|EUR|21|17-FEB-16|17-FEB-16
7156|878959|17-FEB-16|PLN|31|EUR|7|17-FEB-16|17-FEB-16
7190|878960|17-FEB-16|PLN|323|EUR|74|17-FEB-16|17-FEB-16
7191|878960|17-FEB-16|PLN|52|EUR|12|17-FEB-16|17-FEB-16
7194|878960|17-FEB-16|PLN|323|EUR|74|17-FEB-16|17-FEB-16
7195|878960|17-FEB-16|PLN|52|EUR|12|17-FEB-16|17-FEB-16
7197|878960|17-FEB-16|PLN|52|EUR|12|17-FEB-16|17-FEB-16
7196|878960|17-FEB-16|PLN|323|EUR|74|17-FEB-16|17-FEB-16
7192|878960|17-FEB-16|PLN|323|EUR|74|17-FEB-16|17-FEB-16
7193|878960|17-FEB-16|PLN|52|EUR|12|17-FEB-16|17-FEB-16
7218|878918|17-FEB-16|PLN|-268|EUR|-62|17-FEB-16|17-FEB-16
7219|878918|17-FEB-16|PLN|-31|EUR|-7|17-FEB-16|17-FEB-16
7220|878918|17-FEB-16|PLN|-247|EUR|-57|17-FEB-16|17-FEB-16
7221|878918|17-FEB-16|PLN|-52|EUR|-12|17-FEB-16|17-FEB-16
7224|878918|17-FEB-16|PLN|-268|EUR|-62|17-FEB-16|17-FEB-16
7225|878918|17-FEB-16|PLN|-31|EUR|-7|17-FEB-16|17-FEB-16
7226|878918|17-FEB-16|PLN|-90|EUR|-21|17-FEB-16|17-FEB-16
7227|878918|17-FEB-16|PLN|-247|EUR|-57|17-FEB-16|17-FEB-16
7228|878918|17-FEB-16|PLN|-52|EUR|-12|17-FEB-16|17-FEB-16
7229|878918|17-FEB-16|PLN|-90|EUR|-21|17-FEB-16|17-FEB-16
7234|878918|17-FEB-16|PLN|-268|EUR|-62|17-FEB-16|17-FEB-16
7235|878918|17-FEB-16|PLN|-31|EUR|-7|17-FEB-16|17-FEB-16
7236|878918|17-FEB-16|PLN|-247|EUR|-57|17-FEB-16|17-FEB-16
7237|878918|17-FEB-16|PLN|-52|EUR|-12|17-FEB-16|17-FEB-16
7240|878918|17-FEB-16|PLN|-268|EUR|-62|17-FEB-16|17-FEB-16
7241|878918|17-FEB-16|PLN|-31|EUR|-7|17-FEB-16|17-FEB-16
7242|878918|17-FEB-16|PLN|-247|EUR|-57|17-FEB-16|17-FEB-16
7243|878918|17-FEB-16|PLN|-52|EUR|-12|17-FEB-16|17-FEB-16
7222|878918|17-FEB-16|PLN|299|EUR|69|17-FEB-16|17-FEB-16
7223|878918|17-FEB-16|PLN|299|EUR|69|17-FEB-16|17-FEB-16
7230|878918|17-FEB-16|PLN|299|EUR|69|17-FEB-16|17-FEB-16
7231|878918|17-FEB-16|PLN|90|EUR|21|17-FEB-16|17-FEB-16
7232|878918|17-FEB-16|PLN|299|EUR|69|17-FEB-16|17-FEB-16
7233|878918|17-FEB-16|PLN|90|EUR|21|17-FEB-16|17-FEB-16
7238|878918|17-FEB-16|PLN|299|EUR|69|17-FEB-16|17-FEB-16
7239|878918|17-FEB-16|PLN|299|EUR|69|17-FEB-16|17-FEB-16
7244|878918|17-FEB-16|PLN|299|EUR|69|17-FEB-16|17-FEB-16
7245|878918|17-FEB-16|PLN|299|EUR|69|17-FEB-16|17-FEB-16
7326|878977|17-FEB-16|PLN|57|EUR|13|17-FEB-16|17-FEB-16
7327|878977|17-FEB-16|PLN|90|EUR|21|17-FEB-16|17-FEB-16
7325|878977|17-FEB-16|PLN|202|EUR|46|17-FEB-16|17-FEB-16
7323|878977|17-FEB-16|PLN|202|EUR|46|17-FEB-16|17-FEB-16
7324|878977|17-FEB-16|PLN|57|EUR|13|17-FEB-16|17-FEB-16
7298|878977|17-FEB-16|PLN|228|EUR|52|17-FEB-16|17-FEB-16
7299|878977|17-FEB-16|PLN|31|EUR|7|17-FEB-16|17-FEB-16
7322|878977|17-FEB-16|PLN|90|EUR|21|17-FEB-16|17-FEB-16
7300|878977|17-FEB-16|PLN|228|EUR|52|17-FEB-16|17-FEB-16
7301|878977|17-FEB-16|PLN|31|EUR|7|17-FEB-16|17-FEB-16
