SEGMENT_ID|CHARGE_ID|SERIES_NUM|CONFIRMATION_NUM|RECORD_NUM|BILL_DATE|ORIGINAL_CHARGE_ID|TAX_ID|TAX_CODE|TAX_DESCRIPTION|CODE_TYPE|SVC_DESCRIPTION|REV_CATEGORY_ID|REV_CATEGORY_DESCRIPTION|CHRG_CHANNEL_ID|CHRG_CHANNEL_CODE|CHARGE_STATUS|STATUS_REASON_ID|STATUS_REASON_DESCRIPTION|RES_CURR_CODE|RES_CURR_CHRG_AMOUNT|RPT_CURR_CODE|RPT_CURR_CHRG_AMOUNT|CHARGE_COMMENT|CREATED_DATE|LAST_MODIFIED_DATE
RQETJK2997|7099|299 |RQETJK|7|17-FEB-16|6825||||XBAG      |20 KG BAG|7|Special Service Requests|1|STANDARD|0|10|Auto Cancel|PLN|-90|EUR|-21||17-FEB-16|17-FEB-16
RQETJK2997|7100|299 |RQETJK|7|17-FEB-16|6826||||NSST      |SEAT RESERVATION|7|Special Service Requests|1|STANDARD|0|10|Auto Cancel|PLN|-25|EUR|-6|SEAT RESERVATION|17-FEB-16|17-FEB-16
RQETJK2998|7101|299 |RQETJK|8|17-FEB-16|6827||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|1|STANDARD|0|10|Auto Cancel|PLN|-202|EUR|-46|WEB:AIR|17-FEB-16|17-FEB-16
RQETJK2998|7102|299 |RQETJK|8|17-FEB-16|6828|543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|1|STANDARD|0|10|Auto Cancel|PLN|-57|EUR|-13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
RQETJK2998|7103|299 |RQETJK|8|17-FEB-16|6829||||NSST      |SEAT RESERVATION|7|Special Service Requests|1|STANDARD|0|10|Auto Cancel|PLN|-25|EUR|-6|SEAT RESERVATION|17-FEB-16|17-FEB-16
RQETJK2991|6802|299 |RQETJK|1|16-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|0|0|Original Booking|PLN|228|EUR|52|WEB:AIR|16-FEB-16|17-FEB-16
RQETJK2991|6803|299 |RQETJK|1|16-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|0|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|16-FEB-16|17-FEB-16
RQETJK2991|6804|299 |RQETJK|1|16-FEB-16|||||XBAG      |20 KG BAG|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|90|EUR|21||16-FEB-16|17-FEB-16
RQETJK2991|6805|299 |RQETJK|1|16-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|16-FEB-16|17-FEB-16
RQETJK2992|6806|299 |RQETJK|2|16-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|0|0|Original Booking|PLN|228|EUR|52|WEB:AIR|16-FEB-16|17-FEB-16
RQETJK2992|6807|299 |RQETJK|2|16-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|0|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|16-FEB-16|17-FEB-16
RQETJK2992|6808|299 |RQETJK|2|16-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|16-FEB-16|17-FEB-16
RQETJK2993|6809|299 |RQETJK|3|16-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|0|0|Original Booking|PLN|228|EUR|52|WEB:AIR|16-FEB-16|17-FEB-16
RQETJK2993|6810|299 |RQETJK|3|16-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|0|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|16-FEB-16|17-FEB-16
RQETJK2993|6811|299 |RQETJK|3|16-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|16-FEB-16|17-FEB-16
RQETJK2993|6812|299 |RQETJK|3|16-FEB-16|||||XBAG      |20 KG BAG|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|90|EUR|21||16-FEB-16|17-FEB-16
RQETJK2994|6813|299 |RQETJK|4|16-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|0|0|Original Booking|PLN|228|EUR|52|WEB:AIR|16-FEB-16|17-FEB-16
RQETJK2994|6814|299 |RQETJK|4|16-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|0|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|16-FEB-16|17-FEB-16
RQETJK2994|6815|299 |RQETJK|4|16-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|16-FEB-16|17-FEB-16
RQETJK2995|6816|299 |RQETJK|5|16-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|0|0|Original Booking|PLN|202|EUR|46|WEB:AIR|16-FEB-16|17-FEB-16
RQETJK2995|6817|299 |RQETJK|5|16-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|0|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|16-FEB-16|17-FEB-16
RQETJK2995|6818|299 |RQETJK|5|16-FEB-16|||||XBAG      |20 KG BAG|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|90|EUR|21||16-FEB-16|17-FEB-16
RQETJK2995|6819|299 |RQETJK|5|16-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|16-FEB-16|17-FEB-16
RQETJK2996|6820|299 |RQETJK|6|16-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|0|0|Original Booking|PLN|202|EUR|46|WEB:AIR|16-FEB-16|17-FEB-16
RQETJK2996|6821|299 |RQETJK|6|16-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|0|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|16-FEB-16|17-FEB-16
RQETJK2996|6822|299 |RQETJK|6|16-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|16-FEB-16|17-FEB-16
RQETJK2997|6823|299 |RQETJK|7|16-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|0|0|Original Booking|PLN|202|EUR|46|WEB:AIR|16-FEB-16|17-FEB-16
RQETJK2997|6824|299 |RQETJK|7|16-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|0|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|16-FEB-16|17-FEB-16
RQETJK2997|6825|299 |RQETJK|7|16-FEB-16|||||XBAG      |20 KG BAG|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|90|EUR|21||16-FEB-16|17-FEB-16
RQETJK2997|6826|299 |RQETJK|7|16-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|16-FEB-16|17-FEB-16
RQETJK2998|6827|299 |RQETJK|8|16-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|0|0|Original Booking|PLN|202|EUR|46|WEB:AIR|16-FEB-16|17-FEB-16
RQETJK2998|6828|299 |RQETJK|8|16-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|0|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|16-FEB-16|17-FEB-16
RQETJK2998|6829|299 |RQETJK|8|16-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|0|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|16-FEB-16|17-FEB-16
IYNU7R2991|6973|299 |IYNU7R|1|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|228|EUR|52|WEB:AIR|17-FEB-16|17-FEB-16
IYNU7R2991|6974|299 |IYNU7R|1|17-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|17-FEB-16|17-FEB-16
IYNU7R2991|6975|299 |IYNU7R|1|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
IYNU7R2992|6976|299 |IYNU7R|2|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|228|EUR|52|WEB:AIR|17-FEB-16|17-FEB-16
IYNU7R2992|6977|299 |IYNU7R|2|17-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|17-FEB-16|17-FEB-16
IYNU7R2992|6978|299 |IYNU7R|2|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
IYNU7R2993|6979|299 |IYNU7R|3|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|228|EUR|52|WEB:AIR|17-FEB-16|17-FEB-16
IYNU7R2993|6980|299 |IYNU7R|3|17-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|17-FEB-16|17-FEB-16
IYNU7R2993|6981|299 |IYNU7R|3|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
IYNU7R2994|7122|299 |IYNU7R|4|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|228|EUR|52|WEB:AIR|17-FEB-16|17-FEB-16
IYNU7R2994|7123|299 |IYNU7R|4|17-FEB-16||542|KTW |Katowice Departure Tax|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|31|EUR|7|Katowice Departure Tax|17-FEB-16|17-FEB-16
IYNU7R2994|7124|299 |IYNU7R|4|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
IYNU7R2995|7125|299 |IYNU7R|5|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|202|EUR|46|WEB:AIR|17-FEB-16|17-FEB-16
IYNU7R2995|7126|299 |IYNU7R|5|17-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
IYNU7R2995|7127|299 |IYNU7R|5|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
IYNU7R2996|7128|299 |IYNU7R|6|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|202|EUR|46|WEB:AIR|17-FEB-16|17-FEB-16
IYNU7R2996|7129|299 |IYNU7R|6|17-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
IYNU7R2996|7130|299 |IYNU7R|6|17-FEB-16|||||NSST      |SEAT RESERVATION|7|Special Service Requests|8|EXT_WEB|1|0|Original Booking|PLN|25|EUR|6|SEAT RESERVATION|17-FEB-16|17-FEB-16
IYNU7R2997|7131|299 |IYNU7R|7|17-FEB-16|||||AIR       |AIR FARE|3|Booking/Transaction/Call center fees|8|EXT_WEB|1|0|Original Booking|PLN|202|EUR|46|WEB:AIR|17-FEB-16|17-FEB-16
IYNU7R2997|7132|299 |IYNU7R|7|17-FEB-16||543|BOJ |Bourgas Departure Tax - Adult|TAX       |Tax|1|This revenue category is undefined|8|EXT_WEB|1|0|Original Booking|PLN|57|EUR|13|Bourgas Departure Tax - Adult|17-FEB-16|17-FEB-16
